S.No.,Name,CMP(Rs),P/E,Mar Cap(Rs.Cr),Div Yld(%),NP Qtr(Rs.Cr),Qtr Profit Var(%),Sales Qtr(Rs.Cr.),Qtr Sales Var(%),ROCE(%),Company Name
76.,Cospower Engine.,345.80,471.53,51.88,0.00,1.31,,15.24,,8.39,Capital Goods - Electrical Equipment
77.,Integra Switch,158.85,,50.63,0.00,0.00,100.00,0.00,,-7.30,Capital Goods - Electrical Equipment
78.,Maks Energy,63.15,69.52,43.79,0.00,0.08,,35.38,,9.63,Capital Goods - Electrical Equipment
79.,Quest Softech,40.95,,40.95,0.00,-0.18,35.71,0.87,2800.00,-13.34,Capital Goods - Electrical Equipment
80.,Tarapur Trans,13.35,,26.03,0.00,-0.37,98.37,0.00,-100.00,-32.60,Capital Goods - Electrical Equipment
81.,Switching Tech.,85.90,,21.04,0.00,4.01,19.90,1.95,-33.45,,Capital Goods - Electrical Equipment
82.,Bright Solar,8.35,,20.87,0.00,-2.90,,9.02,,-10.47,Capital Goods - Electrical Equipment
83.,Sterling Powerg.,35.35,6.35,18.03,0.00,1.26,1150.00,6.41,7022.22,31.56,Capital Goods - Electrical Equipment
84.,Neueon Towers,3.09,,17.47,0.00,-23.33,0.17,0.05,66.67,,Capital Goods - Electrical Equipment
85.,Epic Energy,16.70,33.45,12.04,0.00,0.25,175.76,1.52,424.14,5.03,Capital Goods - Electrical Equipment
86.,Cont. Controls,12.52,,7.70,0.00,-0.02,94.44,0.00,-100.00,-8.94,Capital Goods - Electrical Equipment
,Median: 86 Co.,382.7,67.72,905.8,0.0,5.14,29.22,75.52,16.53,17.06,Capital Goods - Electrical Equipment
