S.No.,Name,CMP(Rs),P/E,Mar Cap(Rs.Cr),Div Yld(%),NP Qtr(Rs.Cr),Qtr Profit Var(%),Sales Qtr(Rs.Cr.),Qtr Sales Var(%),ROCE(%),Company Name
84.,Shiva Texyarn,188.55,,244.40,0.00,5.18,-18.04,70.25,-27.90,-1.17,Textiles
85.,Modern Threads,67.59,9.26,235.07,0.00,4.76,-53.06,74.57,4.29,24.70,Textiles
86.,Mahalaxmi Rubtec,202.20,19.48,214.73,0.00,3.88,6.01,20.96,9.45,16.64,Textiles
87.,BSL,204.00,18.69,209.93,0.49,2.52,-51.54,156.34,31.68,9.55,Textiles
88.,United Polyfab,90.60,31.45,207.94,0.00,-0.13,-113.40,216.10,20.31,11.24,Textiles
89.,Lovable Lingerie,139.70,48.31,206.74,0.00,-1.85,44.28,5.51,-53.62,3.26,Textiles
90.,JCT,2.33,,202.32,0.00,-40.03,-1475.98,113.27,-42.09,-9.86,Textiles
91.,SEL Mfg. Co,61.00,,202.14,0.00,-41.53,26.28,28.01,-87.73,-14.75,Textiles
92.,Aarnav Fashions,47.39,35.59,200.15,0.00,2.20,140.52,100.19,-10.46,6.71,Textiles
93.,Weizmann,124.70,22.09,197.77,0.40,1.82,65.45,30.64,-18.68,16.05,Textiles
94.,Bhandari Hosiery,7.87,28.89,188.92,0.13,1.64,4.46,88.83,-19.55,9.89,Textiles
95.,Rel. Chemotex,249.95,58.73,188.56,0.41,0.46,-83.39,102.27,28.35,6.75,Textiles
96.,Suryalata Spg.,416.80,9.19,177.82,0.47,5.40,-30.95,120.41,8.42,9.91,Textiles
97.,Shahlon Silk,19.81,46.91,176.91,0.31,1.17,505.26,173.65,41.34,8.84,Textiles
98.,Indian Acrylics,13.04,,176.45,0.00,-12.34,-165.78,106.34,-53.19,-8.56,Textiles
99.,Shri Techtex,70.05,14.25,174.77,0.00,7.05,,34.76,,31.01,Textiles
100.,Marvel Decor,101.00,50.03,172.10,0.00,1.74,,27.23,,8.84,Textiles
