S.No.,Name,CMP(Rs),P/E,Mar Cap(Rs.Cr),Div Yld(%),NP Qtr(Rs.Cr),Qtr Profit Var(%),Sales Qtr(Rs.Cr.),Qtr Sales Var(%),ROCE(%),Company Name
80.,Innovana Think.,520.00,25.83,1066.00,0.05,8.84,-11.24,21.74,-16.99,35.07,IT - Software
81.,Tracxn Technolo.,97.85,156.72,1018.75,0.00,1.43,-94.16,20.32,-0.10,13.29,IT - Software
82.,DigiSpice Tech.,43.56,62.67,1012.57,0.00,37.53,398.27,106.09,-1.10,11.29,IT - Software
83.,Veefin Solutions,445.75,136.16,1006.19,0.00,6.41,,15.92,,22.29,IT - Software
84.,Onward Technolog,423.05,28.34,955.20,1.21,6.68,-7.73,118.44,-2.41,21.69,IT - Software
85.,Aurum Proptech,158.15,,952.95,0.00,-4.65,45.57,59.81,31.86,-11.99,IT - Software
86.,Silver Touch,720.50,56.90,913.67,0.07,6.32,54.52,78.80,79.34,20.01,IT - Software
87.,NINtec Systems,480.45,63.42,892.49,0.00,4.67,143.23,19.31,85.49,67.66,IT - Software
88.,Ceinsys Tech,543.65,25.41,888.31,0.36,11.61,-45.31,78.27,7.29,21.82,IT - Software
89.,Mindteck (India),337.20,31.45,857.57,0.31,6.48,19.78,97.90,10.32,16.41,IT - Software
90.,R S Software (I),281.30,40.02,723.17,0.00,6.71,613.83,18.23,48.82,44.35,IT - Software
91.,FCS Software,4.14,129.44,707.75,0.00,-1.13,13875.00,9.60,15.80,3.13,IT - Software
92.,VL E-Governance,66.29,,702.35,0.00,-163.47,66.48,0.00,-100.00,-0.30,IT - Software
93.,3i Infotech,40.37,,683.36,0.00,-99.08,-104.23,197.04,3.45,-6.65,IT - Software
94.,Alankit,24.35,30.63,660.28,0.00,6.47,37.37,91.16,-38.48,10.50,IT - Software
95.,Bartronics India,21.57,309.89,656.97,0.00,1.98,396.10,12.41,2.99,3.74,IT - Software
96.,IZMO,398.35,21.65,563.57,0.00,9.04,9.05,50.29,15.19,9.35,IT - Software
97.,TAC Infosec,536.80,88.85,562.54,0.00,4.40,,6.60,,80.97,IT - Software
98.,Cybertech Sys.,180.00,24.65,560.37,1.11,7.06,31.72,56.51,4.44,16.68,IT - Software
99.,XT Global Infot.,41.00,46.71,545.17,0.12,0.89,-68.44,50.42,-13.20,9.06,IT - Software
100.,All E Tech,267.50,27.47,540.17,0.37,5.53,67.55,30.41,27.93,23.85,IT - Software
,Median: 256 Co.,112.33,35.6,188.97,0.0,1.83,26.12,20.68,10.4,13.06,IT - Software
101.,Softsol India,353.00,107.01,521.15,0.00,2.60,-80.95,21.04,12.09,5.02,IT - Software
102.,Trust Fintech,218.50,41.62,520.59,0.00,5.22,,16.22,,61.57,IT - Software
103.,Aion-Tech Soluti,149.70,,517.69,0.00,-0.74,-2.78,23.22,-12.01,-0.78,IT - Software
104.,Inspirisys Sol.,117.45,30.10,465.29,0.00,3.74,-57.51,98.65,-2.25,29.00,IT - Software
105.,Softtech Enginee,355.10,136.70,455.20,0.00,1.23,846.15,22.36,21.92,6.62,IT - Software
106.,Quint Digital,95.20,,448.73,0.00,0.45,104.81,15.25,-22.31,-3.37,IT - Software
107.,Sigma Solve,423.75,26.97,435.52,0.12,5.32,30.07,16.22,18.57,56.31,IT - Software
108.,IRIS Business,223.95,49.89,433.59,0.00,4.73,198.10,30.35,47.62,26.74,IT - Software
109.,Esconet,345.60,80.60,427.16,0.00,2.25,,66.20,,54.61,IT - Software
110.,Trigyn Techno.,138.50,21.34,426.38,0.00,18.98,632.82,334.14,3.12,5.72,IT - Software
111.,Systango Tech,289.65,25.14,424.90,0.00,8.78,,29.65,,33.90,IT - Software
112.,Airan,30.46,30.34,380.82,0.00,4.80,65.71,29.74,15.72,13.09,IT - Software
113.,DRC Systems,28.15,32.00,372.92,0.00,3.96,232.77,17.12,152.88,30.26,IT - Software
114.,Intense Tech.,158.10,23.76,370.97,0.32,3.00,-34.07,31.14,-6.60,16.99,IT - Software
115.,Virinchi,34.38,24.01,323.76,0.00,2.04,-83.20,74.66,-4.21,8.06,IT - Software
116.,Canarys,56.25,35.60,316.03,0.00,5.34,,44.00,,33.51,IT - Software
117.,ABM Knowledge,156.00,20.96,312.03,0.77,5.84,85.99,23.10,46.20,8.86,IT - Software
118.,Dev Information,131.35,31.77,295.34,0.19,4.28,24.70,43.44,-1.85,22.85,IT - Software
119.,Equippp Social,27.16,,280.00,0.00,0.74,39.62,1.56,420.00,-1.86,IT - Software
120.,Trejhara Solutio,185.60,108.21,269.42,0.00,10.35,-247.37,6.43,12.02,1.66,IT - Software
121.,Cambridge Tech.,128.00,45.01,251.27,0.00,4.53,1292.11,57.07,-7.40,8.68,IT - Software
122.,Shradha AI Tech,101.95,38.89,248.56,1.18,1.84,260.78,3.96,8.79,17.75,IT - Software
123.,Odyssey Tech.,154.00,54.71,243.43,0.00,3.19,16.00,9.29,17.30,12.05,IT - Software
124.,GSS Infotech,92.90,32.63,243.00,0.00,6.86,1171.88,40.64,65.95,3.58,IT - Software
125.,Delaplex,261.05,23.60,237.80,0.00,5.17,,27.49,,50.00,IT - Software
,Median: 256 Co.,112.33,35.6,188.97,0.0,1.83,26.12,20.68,10.4,13.06,IT - Software
126.,GVP Infotech,13.75,78.84,223.95,0.00,3.11,127.01,6.62,-32.79,1.73,IT - Software
127.,Diensten Tech,254.00,1311.39,209.82,0.00,,,,,9.70,IT - Software
128.,Enfuse,214.90,35.46,190.13,0.00,3.76,,24.83,,86.40,IT - Software
129.,CG-VAK Software,371.85,20.36,187.80,0.28,1.79,-31.68,18.69,-6.64,20.94,IT - Software
130.,Xelpmoc Design,119.43,,175.66,0.00,-6.04,-49.43,0.91,-72.59,-18.12,IT - Software
131.,Ace Soft. Exp.,258.60,33.43,165.50,0.00,1.82,776.19,17.75,814.95,21.01,IT - Software
132.,Cadsys (India),214.85,20.46,161.19,0.00,6.61,,107.10,,14.35,IT - Software
133.,Fidel Softech,116.95,26.53,160.81,0.60,1.49,-3.87,11.18,20.34,22.43,IT - Software
134.,Atishay,139.40,27.58,153.07,0.72,2.53,377.36,17.47,156.91,19.12,IT - Software
135.,Enser,174.20,28.81,151.83,0.00,3.20,,27.99,,79.36,IT - Software
136.,Visesh Infotec.,0.40,,150.98,0.00,-1.10,3.51,0.11,-47.62,-0.88,IT - Software
137.,Scanpoint Geoma,8.82,91.52,148.27,0.00,1.13,707.14,19.28,210.47,2.21,IT - Software
138.,Varanium Cloud,35.95,1.75,144.72,11.82,87.68,196.22,395.15,260.90,,IT - Software
139.,Athena Global,103.00,0.70,144.71,0.00,220.60,3041.33,3.92,88.46,127.62,IT - Software
140.,SecureKloud Tech,42.00,,140.33,0.00,-49.34,-53.66,59.67,-44.00,-17.15,IT - Software
141.,AAA Technologies,105.90,42.32,135.83,0.47,0.11,-86.25,9.40,-21.60,16.12,IT - Software
142.,Sattrix,199.75,33.98,135.82,0.00,,,,,49.06,IT - Software
143.,Accel,22.70,35.98,130.68,1.30,0.86,269.12,49.87,1.16,8.99,IT - Software
144.,SagarSoft (India,204.20,16.02,130.52,0.97,1.64,164.52,39.58,14.43,16.15,IT - Software
145.,7Seas Enter.,69.85,135.77,130.35,0.00,0.21,162.50,3.17,193.52,18.36,IT - Software
146.,Palred Technolog,105.65,,129.23,0.00,-1.05,37.00,22.33,-29.65,1.05,IT - Software
147.,Vedavaag Systems,55.05,16.03,126.25,1.09,2.19,92.11,22.97,15.25,7.76,IT - Software
148.,Edvenswa Enter,58.57,15.01,110.87,0.00,2.18,29.76,24.41,43.93,23.81,IT - Software
149.,Titan Intech,46.77,19.59,110.13,0.00,1.90,146.75,13.48,284.05,20.19,IT - Software
150.,Secmark Consult.,101.83,,105.73,0.00,1.84,1515.38,7.29,18.34,-7.74,IT - Software
,Median: 256 Co.,112.33,35.6,188.97,0.0,1.83,26.12,20.68,10.4,13.06,IT - Software
