S.No.,Name,CMP(Rs),P/E,Mar Cap(Rs.Cr),Div Yld(%),NP Qtr(Rs.Cr),Qtr Profit Var(%),Sales Qtr(Rs.Cr.),Qtr Sales Var(%),ROCE(%),Company Name
78.,Lloyds Luxuries,114.90,,260.30,0.00,-3.05,,21.89,,-11.07,Miscellaneous
79.,Alphageo (India),395.70,146.82,251.85,2.03,4.07,884.13,51.89,267.49,4.25,Miscellaneous
80.,Techknowgreen,336.00,40.57,248.07,0.00,2.87,,14.22,,94.69,Miscellaneous
81.,Shreeoswal Seeds,27.10,,247.90,0.00,-3.51,-1426.09,43.42,65.28,0.62,Miscellaneous
82.,Modi Rubber,98.00,15.80,245.39,0.00,3.16,-1.86,5.44,90.21,4.43,Miscellaneous
83.,Tirupati Starch,255.00,118.14,244.50,0.00,0.43,-89.20,82.48,-4.12,7.64,Miscellaneous
84.,Raghuvansh Agro.,205.00,38.60,244.31,0.00,4.20,,9.58,,11.29,Miscellaneous
85.,Shree OSFM,169.10,29.82,241.55,0.00,2.23,,55.72,,36.72,Miscellaneous
86.,Parin Furniture,215.00,105.30,239.04,0.00,0.79,,33.74,,7.27,Miscellaneous
87.,Indiabulls Enter,11.90,,236.02,0.00,-18.36,-764.22,13.44,-17.14,-4.95,Miscellaneous
88.,Mitcon Consult.,130.83,43.38,231.20,0.00,2.49,152.31,39.96,42.82,9.45,Miscellaneous
89.,Radix Industries,150.00,100.95,225.10,0.66,0.65,38.30,7.93,-12.95,16.65,Miscellaneous
90.,Organic Recyclin,290.00,28.73,223.27,0.00,5.75,,14.91,,8.36,Miscellaneous
91.,Upsurge Seeds,314.40,30.62,221.96,0.00,4.94,,60.05,,13.54,Miscellaneous
92.,Nirman Agri,362.05,20.76,215.81,0.00,3.34,,20.46,,33.18,Miscellaneous
93.,Aarvi Encon,144.00,18.79,212.94,1.37,3.04,-11.88,103.11,-3.00,11.41,Miscellaneous
94.,Dhruv Consultanc,139.40,35.97,211.83,0.18,0.43,377.78,24.69,17.46,12.09,Miscellaneous
95.,JK Agri Genetics,437.20,,202.73,0.00,-8.74,-473.50,35.75,-22.54,-13.71,Miscellaneous
